상권_코드_명,상권별_매출액_평균,상권별_매출건수_평균,프랜차이즈_점포_수,식료품_지출_총금액,교통_지출_총금액,점포_수,개업_점포_수,폐업_점포_수,시군구_명,시간대_아침점심_생활인구_수,시간대_오후저녁_생활인구_수,시간대_밤새벽_생활인구_수
암사역 1번,222260428.17322835,14164.692913385828,21,1225566669.0,819217014.0,306,31,7,강동구,65031,53343,91092
암사역 2번(서울강동초등학교),478820631.1265823,15603.145569620254,36,1188062495.0,733404485.0,416,44,12,강동구,68575,59715,90889
암사역 3번(천호동자전거거리),271213486.75,9645.572916666666,17,667836076.0,436961337.0,249,27,8,강동구,26341,22238,34256
암사역 4번(삼성광나루아파트),93669985.1891892,1557.2162162162165,3,61156136.0,39825816.0,41,3,0,강동구,6240,6029,8326
중앙보훈병원,44331577.25,3475.5625,4,137079998.0,79904464.0,26,4,0,강동구,2355,2020,3248
천동초등학교,129075203.2051282,2808.974358974359,2,191188850.0,136254594.0,45,2,1,강동구,12086,10789,16099
천일초등학교,98918662.4074074,4845.962962962963,2,337126170.0,158260055.0,27,0,0,강동구,9857,8039,14213
천호1동주민센터,60420577.91780822,5198.013698630137,10,607574329.0,287833473.0,114,8,1,강동구,49941,40072,67996
천호공원(해공체육문화센터),398793456.1203704,16932.537037037036,8,611320135.0,313623364.0,214,22,3,강동구,17760,14977,24076
천호역 1번(천호문구완구거리),164854238.7704918,6185.5901639344265,3,401916718.0,212746823.0,93,8,2,강동구,22410,20354,26568
천호역 6번,214862291.5510204,9354.69387755102,14,802670749.0,388954771.0,290,37,6,강동구,57356,49934,77250
천호지구대(천호동자전거거리),253873538.73033708,9760.483146067416,10,578353859.0,359296124.0,184,10,4,강동구,28546,24915,32246
천호초등학교,104676266.6551724,7127.241379310345,9,380432275.0,207767795.0,57,3,0,강동구,25748,19981,35549
천호태영아파트,397491893.03125,8105.5625,5,83050365.0,32330514.0,59,14,1,강동구,4760,5102,6085
한영중고,211292216.2897196,10878.532710280371,22,350821529.0,193991442.0,227,35,6,강동구,7092,6519,6410
G타워,208674508.35,18987.75,28,451079715.0,329838331.0,117,18,1,구로구,10349,8175,8947
가리봉파출소,108448679.5,6267.137931034483,7,311864773.0,183280310.0,123,11,2,구로구,18301,14985,22570
개봉1동주민센터,227659044.72108844,11171.108843537417,20,804182877.0,403143422.0,298,41,8,구로구,20159,17235,30507
개봉3동주민센터,82827131.58139534,6950.069767441861,5,404173926.0,281200971.0,87,7,1,구로구,9091,8854,11518
개봉역,271541826.52,17113.832,28,223333613.0,129623352.0,217,20,5,구로구,15280,15385,17583
개봉중학교,200243813.81,10749.28,19,343534330.0,196952371.0,148,17,3,구로구,13135,9288,18032
개봉초등학교,106395909.28,7434.66,8,276582179.0,163593490.0,78,9,1,구로구,12366,11440,15492
개웅초등학교(개웅중학교),70939301.41538462,4303.861538461539,11,813464032.0,549217045.0,90,10,2,구로구,15058,11677,21438
고산초등학교,51326068.28571428,5319.142857142857,2,0.0,0.0,17,4,0,구로구,525,446,637
고척동성당,238547701.51898733,9664.012658227848,10,159182045.0,129895311.0,88,8,1,구로구,11937,8455,16144
고척중학교,290113648.0,9189.869565217392,1,0.0,0.0,23,0,0,구로구,1096,775,1711
고척초등학교,175087852.41025642,6183.025641025641,11,474256771.0,248917877.0,119,13,3,구로구,11933,10302,14680
구로119안전센터,149998634.6956522,10996.057971014492,6,328185373.0,160461411.0,104,12,3,구로구,24692,20152,32271
구로4동주민센터,448496873.9802632,27379.973684210527,33,617264804.0,324733577.0,388,47,9,구로구,31667,29945,39537
구로구민회관,183469183.2142857,8170.214285714285,10,239383076.0,102829085.0,65,10,1,구로구,7073,6192,7240
구로나눔길,218254998.3372093,9042.10465116279,6,115027119.0,67405599.0,154,18,2,구로구,8053,7078,10377
구로보건소,364378896.84076434,16817.91719745223,27,1143564447.0,631831732.0,507,49,10,구로구,48514,43967,58422
구로창업지원센터,222978174.8723404,10528.489361702128,9,439127228.0,237903976.0,127,7,2,구로구,17480,17543,13264
구로초등학교,121786720.3846154,4673.971153846154,10,556224790.0,262228075.0,265,33,5,구로구,26337,22427,29677
그라운드 고척,322658431.4594595,23547.1981981982,54,115498166.0,66852445.0,147,22,6,구로구,4578,4561,4787
금강수목원아파트,266529789.84375,42892.125,0,71130056.0,40330646.0,35,4,0,구로구,2436,1837,3339
남구로역 2번,359619797.60402685,23635.46308724832,28,1238684827.0,718548423.0,400,29,10,구로구,53194,42954,72782
남구로역 3번,368632388.2288136,17256.07627118644,15,862770333.0,400101756.0,467,39,9,구로구,39669,35898,44657
남구로역 5번,143214881.53225806,8405.209677419354,10,982351673.0,619055699.0,256,34,7,구로구,29622,26884,40649
대림역 2번,207973553.63207543,9367.207547169812,14,405977358.0,202476468.0,223,20,4,구로구,24562,23230,33485
덕의초등학교,122426120.14,6485.68,9,238075865.0,123487711.0,122,12,2,구로구,9348,9105,11258
서울공연예술고등학교,131257417.5681818,14666.681818181818,6,247298335.0,170069331.0,61,5,2,구로구,1118,859,1557
세곡초등학교,208316409.0148148,13203.888888888889,15,910317917.0,445043796.0,250,26,4,구로구,32587,28209,43910
수궁동주민센터,159473165.76612905,9847.16935483871,15,623955787.0,351070278.0,166,12,4,구로구,17513,15714,23441
영서중학교,47695653.558823526,3293.6176470588234,4,93522497.0,73105797.0,28,5,0,구로구,10191,7602,8546
오류2동버들시장,290325872.9527027,19056.027027027027,39,661252202.0,342792725.0,381,46,10,구로구,33107,26958,46544
오류고등학교,223171285.03333333,12589.5,1,255079469.0,164232271.0,28,5,1,구로구,5632,4422,6780
오류동역 1번,101561298.8974359,3510.692307692308,3,598060109.0,426831408.0,49,6,1,구로구,9552,8226,14138
오류동역 3번,142231733.85507247,5771.753623188406,4,543875744.0,281657327.0,137,12,2,구로구,11416,10573,14862
오류동역 4번,669251292.4705882,84621.88235294117,2,30941094.0,23838257.0,18,3,1,구로구,1759,1433,2952
오류지구대,96206955.64,9201.64,5,516136301.0,315209405.0,75,8,2,구로구,17818,16794,24190
온수역 1번,147906487.6727273,12754.8,10,61109250.0,27456566.0,58,6,1,구로구,1675,1537,1592
온수역 5번(온수산업단지),176305052.86956522,14108.971014492754,8,308429341.0,209841239.0,90,5,1,구로구,5337,5009,5916
온수역 8번,30977411.2,1698.75,6,189354322.0,119354975.0,37,2,1,구로구,2338,2075,1917
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",124111168.04347828,5634.739130434783,5,71703671.0,38146897.0,33,3,1,구로구,1226,1172,1183
큰굴다리,43583715.79166666,1290.2291666666667,2,351086434.0,208646575.0,58,2,1,구로구,10334,8870,14665
한국SGI본부,577401746.4320987,22059.03703703704,22,342388457.0,229851639.0,236,29,6,구로구,22355,22783,20415
화원어린이공원,90384830.38297872,7256.425531914893,4,162514519.0,93624635.0,52,11,2,구로구,6885,6211,9086
KB국민은행 망원동지점,393850991.6306306,23221.17117117117,17,336076488.0,216575462.0,213,22,5,마포구,14659,15155,18156
KB국민은행 서강지점,682165545.45,17404.1,4,69060179.0,52057499.0,72,6,1,마포구,2579,2243,2586
가좌역 2번,107346920.20481928,5366.44578313253,11,528255244.0,310787169.0,150,14,3,마포구,16961,13315,20937
경성고등학교,515737452.8454546,18887.78181818182,19,1116919193.0,766195287.0,333,48,7,마포구,36740,28092,47746
경의선책거리,415625108.9782609,20764.7463768116,22,289333599.0,195027214.0,479,83,12,마포구,27033,32634,24449
공덕동주민센터,105895691.68421052,8198.192982456141,8,359782220.0,198078321.0,123,14,2,마포구,19824,16964,23240
공덕래미안3차아파트,119752027.3442623,2297.590163934426,3,7489361.0,5186385.0,60,5,0,마포구,5721,5597,3353
광흥창역 1번,147861425.73015872,13783.714285714286,11,50884385.0,34650165.0,68,9,2,마포구,4132,3710,4323
