상권_코드_명,폐업_점포_수
방화역 1번,2
방화역 2번,3
방화역 3번,2
방화초등학교,3
배꽃어린이공원,0
배문고등학교,3
배화여자대학교(박노수미술관),4
백련산해모로아파트,3
백산초등학교,1
백석중학교,1
버티고개,1
번동주공2단지,0
벌말어린이공원,3
법제교육센터(버들어린이공원),3
베르사이유1아파트,0
보라매동주민센터(당곡고등학교),2
보라매역 2번,2
보라매역 4번,0
보라매역 6번,4
보문역 4번,2
보문역 5번,6
보문역 8번,3
보인중학교,2
본마을노인복지센터(서초구립내곡도서관),0
봉원사,0
봉은사역 4번,1
봉천역 1번(관악초등학교),2
봉천역 4번(봉천110안전센터),4
봉천역 6번,0
부암동주민센터,0
북가좌2동주민센터,5
북가좌초등학교,1
북정마을,0
북한산보국문역 1번,0
북한산보국문역 2번,1
북한산우이역 2번,2
불광역 3번,1
불광역 7번,6
불광역 8번,3
불광중학교,1
사가정역 1번,7
사가정역 4번,3
사근동살곶이상점가,2
사당5동주민센터,1
사당역 10번,9
사당역 4번,7
사당종합체육관,0
사직공원(한국사회과학도서관),0
삼각산119안전센터,1
삼각지역 14번,1
삼각지역 3번,0
삼광초등학교,1
삼선동주민센터,6
삼선중학교,2
삼성산자연공원(서울금천초등학교),3
삼성전자서울R&D(서울우면초등학교),1
삼성중앙역 5번,1
삼성중앙역 7번,0
삼양사거리역 1번,2
삼양사거리역 2번,1
삼양입구사거리,2
삼육보건대학교,6
삼전역 1번,16
삼전역 3번,4
삼전역 4번,7
상계2동주민센터,6
상계3동4동주민센터,0
상계5동주민센터,6
상계역,12
상계제일중학교,0
상계초등학교,6
상도1동주민센터앞,0
상도4동주민센터,2
상도역 1번,1
상도역 2번,1
상도역 5번,7
상도초등학교,1
상봉역 3번,8
상봉역 4번,6
상봉역 7번,2
상수역 3번,0
상수역 4번,2
상신초등학교입구,1
상왕십리역 3번,3
상왕십리역 6번,3
상월곡역 1번,3
상월곡역 2번,2
상월곡역 3번,1
상일여고(상일초등학교),11
새남터성지,1
새절역 2번,1
새절역 3번,4
새터산,4
샘말어린이공원,3
샤로수길,16
서강대역 1번,5
서강대학교,1
서경대학교,3
서대문구보건소별관,2
서대문구청,0
서대문소방서,1
서대문우체국,1
서래초등학교,0
서문여고,2
서빙고동주민센터,1
서빙고역 1번,0
서서울호수공원,2
서연중학교,2
서울공연예술고등학교,2
서울과학기술대,2
서울교통공사,1
서울국제고등학교,1
서울금융고등학교,1
서울나래학교(염곡어린이공원),0
서울대병원,2
서울대입구역 8번,4
서울독일학교,1
서울북부고용노동지청,1
서울산업정보학교(서울삼성초등학교),0
서울서부지방법원,7
서울숲역 1번,0
서울숲카페거리,1
서울시립대,1
서울시립영등포장애인복지관,0
서울시인재개발원,0
서울여자간호대학교,3
서울역 12번,3
서울역 15번,2
서울지방병무청,3
서울축산농협 독산역지점(독산파출소),4
서울프랑스학교,0
서원동주민센터(신관중학교),1
서일대학교,8
서초동성당,1
서초소방서,0
서초우방유쉘아파트,0
서초중학교,1
석계역 1번,6
석계역 2번,3
석계역 7번,5
석관고등학교,1
석관중앙교회,1
석수역 1번 출입구,0
석촌고분역 1번,8
석촌고분역 3번,5
석촌고분역 4번,6
석촌역 3번,7
석촌역 6번,6
석촌역 7번,7
석촌중학교(방이육교),1
선사초등학교,0
선유도역 1번,13
선유도역 6번,4
선일여고,5
선정릉역 4번,3
선정중학교,2
성곡미술관,7
성균관대학교,3
성남고등학교,3
성내중학교,1
성내천어린이공원(하니사랑길),2
성동구립금호도서관,0
성동구보건소,2
성동세무서,1
성동초등학교,2
성미산체육관,1
성북초등학교앞,0
성산중학교,6
성서초등학교,3
성수119안전센터,5
성수1가1동주민센터,2
성수2가3동주민센터,1
성수동카페거리,12
성수초등학교,11
성신여대운정그린캠퍼스,8
성신여대입구역 1번,2
성신여대입구역 4번,2
성신여대입구역 7번,3
성심여자고등학교,5
성원어린이공원,2
성원중학교,10
성자초등학교,5
세검정,1
세검정초등학교,2
세곡초등학교,4
세명컴퓨터고등학교,1
세종대왕기념관교차로,0
세종대학교,0
세화어린이공원,0
솔밭공원역 1번,1
솔밭공원역 2번,2
솔숲어린이공원,0
송정역 2번,2
송정역 3번,8
송정역 4번,1
송정체육공원,4
송중동주민센터,3
송중초등학교,7
송천동주민센터,1
송천초등학교,2
송파나루역 1번(송리단길),13
송파나루역 2번,5
송파나루역 3번,1
송파역 2번,3
송파책박물관,1
수궁동주민센터,4
수락산디자인거리,10
수락산역 4번,13
수색성당,0
수색역 1번,0
수송초등학교,10
수유1동주민센터,3
수유동우체국,2
수유북부시장옆,3
수유시장옆,2
수유역 2번,3
수유초등학교,5
수족관거리,0
숙대입구,14
숙대입구역 1번,2
숭곡초등학교,8
숭실대입구역 1번,3
숭실대입구역 4번,4
시립대앞사거리,6
시립서북병원,7
시조사삼거리,1
시흥3동 우편취급국,3
시흥4동주민센터(서울신흥초등학교),3
시흥동 은행나무사거리,5
시흥초등학교(시흥1동우체국),3
신곡초등학교,1
신광명마을,0
신구중학교,0
신금호역 4번,1
신길2동우편취급국,3
신길3동주민센터,3
신길6동주민센터,2
신길대성유니드아파트,0
신길동홍어거리,1
신길새마을금고신길4동지점,1
신길역 1번,6
신길역 3번,0
신내1동주민센터,9
신내IC북측,0
신내역 1번,0
신내역 2번,1
신당역 3번,6
신대림초등학교,1
신대방삼거리역 1번,2
신대방삼거리역 3번,1
신대방삼거리역 4번(대림초등학교),1
신대방역 1번,1
신대방역 2번,10
신대방역 3번,0
신대방역 4번,5
신림역 1번,1
"신림역 5번(신림동주민센터, 신림동별빛거리)",8
신림역 8번,6
신림우방아파트,3
신림주공2단지(광신고등학교),0
신림초등학교,1
신림현대아파트,1
신목동역,1
신묵초등학교,7
신방화역 2번,9
신방화역 8번,2
