상권_코드_명,프랜차이즈_점포_수
서울숲역 1번,3
서울숲카페거리,1
서울시립대,18
서울시립영등포장애인복지관,0
서울시인재개발원,3
서울여자간호대학교,11
서울역 12번,29
서울역 15번,9
서울지방병무청,13
서울축산농협 독산역지점(독산파출소),10
서울프랑스학교,2
서원동주민센터(신관중학교),12
서일대학교,27
서초동성당,4
서초소방서,2
서초우방유쉘아파트,1
서초중학교,6
석계역 1번,29
석계역 2번,14
석계역 7번,27
석관고등학교,4
석관중앙교회,9
석수역 1번 출입구,11
석촌고분역 1번,31
석촌고분역 3번,15
석촌고분역 4번,11
석촌역 3번,21
석촌역 6번,16
석촌역 7번,28
석촌중학교(방이육교),2
선사초등학교,0
선유도역 1번,37
선유도역 6번,24
선일여고,21
선정릉역 4번,10
선정중학교,9
성곡미술관,19
성균관대학교,11
성남고등학교,13
성내중학교,7
성내천어린이공원(하니사랑길),13
성동구립금호도서관,1
성동구보건소,2
성동세무서,4
성동초등학교,5
성미산체육관,12
성북초등학교앞,2
성산중학교,5
성서초등학교,11
성수119안전센터,12
성수1가1동주민센터,6
성수2가3동주민센터,3
성수동카페거리,20
성수초등학교,42
성신여대운정그린캠퍼스,17
성신여대입구역 1번,11
성신여대입구역 4번,12
성신여대입구역 7번,9
성심여자고등학교,14
성원어린이공원,8
성원중학교,24
성자초등학교,21
세검정,6
세검정초등학교,6
세곡초등학교,15
세명컴퓨터고등학교,9
세종대왕기념관교차로,3
세종대학교,4
세화어린이공원,4
솔밭공원역 1번,10
솔밭공원역 2번,11
솔숲어린이공원,5
송정역 2번,8
송정역 3번,29
송정역 4번,1
송정체육공원,7
송중동주민센터,9
송중초등학교,18
송천동주민센터,4
송천초등학교,8
송파나루역 1번(송리단길),25
송파나루역 2번,10
송파나루역 3번,3
송파역 2번,11
송파책박물관,10
수궁동주민센터,15
수락산디자인거리,41
수락산역 4번,57
수색성당,1
수색역 1번,1
수송초등학교,21
수유1동주민센터,9
수유동우체국,6
수유북부시장옆,4
수유시장옆,11
수유역 2번,7
수유초등학교,10
수족관거리,1
숙대입구,74
숙대입구역 1번,17
숭곡초등학교,24
숭실대입구역 1번,27
숭실대입구역 4번,47
시립대앞사거리,19
시립서북병원,24
시조사삼거리,1
시흥3동 우편취급국,4
시흥4동주민센터(서울신흥초등학교),17
시흥동 은행나무사거리,27
시흥초등학교(시흥1동우체국),17
신곡초등학교,10
신광명마을,2
신구중학교,1
신금호역 4번,6
신길2동우편취급국,3
신길3동주민센터,13
신길6동주민센터,8
신길대성유니드아파트,3
신길동홍어거리,2
신길새마을금고신길4동지점,5
신길역 1번,11
신길역 3번,10
신내1동주민센터,53
신내IC북측,0
신내역 1번,2
신내역 2번,4
신당역 3번,11
신대림초등학교,4
신대방삼거리역 1번,10
신대방삼거리역 3번,6
신대방삼거리역 4번(대림초등학교),4
신대방역 1번,9
신대방역 2번,32
신대방역 3번,2
신대방역 4번,18
신림역 1번,7
"신림역 5번(신림동주민센터, 신림동별빛거리)",33
신림역 8번,12
신림우방아파트,5
신림주공2단지(광신고등학교),1
신림초등학교,3
신림현대아파트,6
신목동역,1
신묵초등학교,17
신방화역 2번,34
신방화역 8번,6
신사1동주민센터,15
신사은행나무공원,2
신서초등학교,11
신설동역 12번,6
신설동역 9번,6
신성초등학교,11
신수동주민센터,7
신우어린이공원,0
신원동주민센터,20
신월1동우편취급국,16
신월1동주민센터,12
신월1파출소,6
신월2동주민센터,9
신월3동주민센터,24
신월4동주민센터,18
신월7동주민센터,10
신월문화체육센터,21
신월시영아파트중문,4
신월중학교,9
신자초등학교,15
신정2동주민센터,40
신정네거리역 2번,1
신정네거리역 4번,3
신정롯데캐슬아파트,22
신정역 1번,10
신정역 5번,14
신중초등학교,7
신진과학기술고등학교,12
신창초등학교,29
신촌역 6번,6
신풍역 1번,9
신풍역 2번,0
신풍역 3번,4
신풍역 6번(신길6동공영주차장),1
신한은행 방학동지점,3
신한은행 신월동지점,28
싸리고개근린공원,3
쌍문2동우체국,23
쌍문역1번(쌍리단길),19
쌍문초등학교,9
아래방죽마을공원(율현초등학교),7
아차산역 1번,15
아차산역 5번,5
아카데미하우스,10
아현역 1번,3
아현역 2번,6
아현역 4번,4
안암역 2번,23
안암역 3번,58
암사동성당(효정하나플러스아파트),8
암사역 1번,21
암사역 2번(서울강동초등학교),36
암사역 3번(천호동자전거거리),17
암사역 4번(삼성광나루아파트),3
애오개역 3번,5
약수역 7번,7
양목초등학교,2
양원초등학교,1
양재근린공원(양재2동주민센터),3
양재역 8번(양재동우체국),33
양지어린이공원,14
양천향교역 2번,12
양천향교역 5번,26
양천향교역 7번,43
양평역 2번,17
양화대교북단,7
양화초등학교,8
어린이대공원역 3번,13
어린이대공원역 4번,3
언남고등학교,1
언북중학교,8
언북초등학교,5
언주역 3번,11
언주역 6번,8
언주역 8번,1
언주중학교,2
역삼역 4번,4
역삼역 8번,10
역삼월드메르디앙아파트,1
역촌노인복지관,20
역촌역 2번,3
역촌역 3번,18
연가초등학교,9
연산군묘,3
연신내역 2번,7
연신내역 3번,3
연신내역 4번,23
연신내역 5번,18
연신내역 7번,13
연신내우체국,7
연신초등학교,2
연천초등학교,10
연트럴파크(연남동주민센터),6
연희대우아파트앞,14
연희세브란스병원,6
연희어린이공원,2
연희임광아파트,2
연희지하차도,3
연희초등학교,14
연희파출소,6
열정도,2
염곡동 구룡사(포이동성당),25
염리초등학교,3
염창무학아파트,3
염창역 2번,9
영동대교남단,1
영동초등학교,13
영등포구청역 2번,19
영등포구청역 6번,5
영등포동성당,1
영등포본동주민센터,1
영등포시장역 1번,8
영등포시장역 3번,4
영등포시장역 4번,1
영등포역 2번,33
영등포푸르지오아파트,17
영락고등학교,13
영서중학교,4
영신여고,20
영신초등학교,23
영천시장입구,7
예술인마을,5
예일여고,7
오거리공원,20
오금공원(오주중학교),8
오금역 4번,3
오동나무공원(송파레미니스1단지),10
오류2동버들시장,39
오류고등학교,1
오류동역 1번,3
오류동역 3번,4
오류동역 4번,2
오류지구대,5
오산고등학교,9
오산중학교,2
옥수동우편취급국,3
옥수역 6번,27
옥수터널,4
옥정중학교,3
온수역 1번,10
온수역 5번(온수산업단지),8
온수역 8번,6
왕십리역 9번,22
왕십리파출소,5
외대앞역 1번,48
외대앞역 2번,4
용강동주민센터,15
용두동신동아아파트,14
용두사거리,4
용두초등학교,2
용두희망어린이공원,6
용마문화복지센터,7
용마초등학교,17
용산구청,1
용산세무서,1
우리은행응암동지점,14
우리은행체육관,4
우면주공아파트,19
우사단길,8
우이천 계성교,11
우장산롯데캐슬아파트앞,8
우장산역 1번,18
우장산역 4번,30
우장산힐스테이트,13
원신초등학교(구세군관악영문교회),3
월계역 3번,6
월곡역 4번,2
월드순복음교회,7
윗방죽마을공원,20
유엔빌리지길,3
은곡마을(은곡마을공원),47
은광여고,1
은천초등학교(은천교앞),25
은평구청,23
은평세무서,7
은평요양병원,15
응봉산,5
응암1동주민센터,9
응암3동주민센터,7
응암동우체국,13
응암역 2번,17
응암역 3번,24
응암정보도서관,21
의릉,8
이대역 5번,8
이북5도청사,3
이수역 10번,15
이수역 5번,16
이수역 9번,11
이촌동점보아파트,11
이태원엔틱가구거리,5
이태원역 북측,3
이화달팽이길,10
인수동 우편취급국,4
인수중학교,3
인수초등학교,0
인헌고등학교(인헌중학교),16
자동차부품상가,1
자양4동주민센터,14
자양동우체국,19
자양한강도서관,16
자하문터널,5
잠실나루역,14
잠원역,4
장곡초등학교,12
장로회신학대학교,6
장석교회,1
장스여성병원,13
장승배기역 4번,8
장승배기역 5번,2
장안1동주민센터,47
장안교,0
장안근린공원,15
장안제일시장,14
장안중학교,9
장안초등학교,2
장안현대홈타운1차아파트,12
장위1동주민센터,6
장위동성당,4
장지동주민센터(한림연예예술고교),12
장충단 고개,13
장충동주민센터,1
장충초등학교,6
장평중학교,21
장훈고등학교,8
전곡마을마당공원,15
전농119안전센터,1
전농1동주민센터(전농시장),1
전농중학교,12
절두산순교성지,0
정곡초등학교,2
정독도서관,1
정릉3동주민센터,6
정릉북한산국립공원입구,2
정릉역 1번,15
정릉역 2번,1
정릉우체국,21
정원여중,1
제기동역 1번,4
제기동역 6번,19
조원동주민센터,5
종로5가역 4번,1
종암경찰서,34
종암동주민센터,17
종암아이파크2차,20
종암아이파크2차후문,2
종암중학교,8
종암초등학교,2
중계초등학교,13
중곡1동 마을마당,13
중곡1동주민센터,2
중곡3동주민센터,17
중곡4동주민센터,3
중곡어린이공원,6
중곡역 3번,24
중곡초등학교,13
중구회현체육센터(정화예술대남산캠퍼스),1
중대부중,0
중랑노인종합복지관,15
중랑역 1번,8
중랑역 2번,2
중랑역 4번,11
중암중학교,2
중앙고등학교,9
중앙대학교,44
중앙보훈병원,4
중화역 1번,20
중화역 4번,17
증산3교남측,1
증산역 1번,8
증산역 3번,15
증산역 4번,10
지향초등학교,19
창2동주민센터,18
창덕궁,3
창동역 2번,32
창동중학교,4
창신1동주민센터,0
창신역 1번,5
창신역 4번,6
천동초등학교,2
"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",5
천일초등학교,2
천호1동주민센터,10
천호공원(해공체육문화센터),8
천호역 1번(천호문구완구거리),3
천호역 6번,14
천호지구대(천호동자전거거리),10
천호초등학교,9
천호태영아파트,5
청계산원터골,2
청계산입구역 2번(내곡동주민센터),0
청계천박물관,1
청구역 1번,13
청구역 3번,17
청담근린공원,2
청담역 12번,2
청담역 3번,2
청담초등학교,0
청량초등학교,2
청룡동주민센터,13
청림동주민센터(상도중학교),3
청와대사랑채,2
청운초등학교,0
체부동홍종문가옥,0
촬영소사거리,9
충무초등학교,12
충신시장옆,1
충정로역 3번,3
충정로역 6번,4
충정로역 7번,0
충정로현대아파트,12
큰굴다리,2
태릉시장 특화거리,5
태릉입구역 4번,6
텃골근린공원,12
투구봉어린이공원,3
평창동동측,2
평창동서측,15
포이초등학교(개포목련어린이공원),20
푸른동산공원,8
푸른들청소년도서관,28
풍납초등학교(풍납백제문화공원),0
하나고등학교,4
하나은행 망우동지점,5
학동근린공원,2
학동초등학교,2
한강로동땡땡거리(은행나무길),6
한강미주맨션아파트,8
한강진역 3번,5
한겨레신문사,6
한국SGI본부,22
한국교통안전공단 강남자동차검사소,1
한국상담대학원대학교,1
한국의류시험연구원,3
한국폴리텍대학서울정수캠퍼스,13
한남IC,4
한남초등학교,0
한남힐사이드아파트,2
한림대학교한강성심병원,6
한성대입구역 3번,19
한성대입구역 5번,6
한성백제역 3번,25
한양공고앞 교차로,2
한양대역 4번,8
한영중고,22
한울중학교,20
한일병원,5
한전아트센터,2
합정역 8번,26
해방촌 남동측,16
해방촌예술마을,9
해오름공원,9
행당역 2번,20
헌인가구단지,0
혜원여고,5
혜화역 1번,3
혜회동주민센터,4
호림박물관(성보고등학교),14
홍남교남측,0
홍대땡땡거리,20
홍대부속여중고앞,13
홍대부중,9
홍대입구역 3번,10
홍릉근린공원,1
홍릉시장,4
홍연시장,3
홍은종합사회복지관,16
홍은중학교,2
홍익대,7
홍익지구대,2
홍제3동주민센터,20
홍제성원아파트,4
홍제역 2번,13
홍제역 3번,7
홍제역 4번,5
홍지문,0
홍파초등학교,3
화계역 2번,2
화계중학교,2
화곡2동주민센터,25
화곡4동주민센터,7
화곡보람2차아파트,1
화곡역 2번,12
화곡역 4번,33
화곡역 5번,24
화곡초등학교,15
화랑대역 7번,7
화랑대철도공원,7
화양사거리,22
화원어린이공원,4
화원중학교,15
황학동벼룩시장,3
황학코아루아파트,10
회기역 1번,8
회기역 2번,0
회현역 1번,2
효문고등학교,1
효창공원앞역 2번,13
효창공원앞역 5번,9
효창공원앞역 6번,15
효창동주민센터,3
후암동주민센터,21
흑리단길,13
흑석2치안센터,1
